2024-12-29 19:59:57,802 - INFO - Episode done: Step: 360 | Action: 63 | Raw Reward: -0.91 | Scaled Reward: -0.4761 | Reward Compliance: -1.29 | Reward Density High: 0.04 | Reward Density Low: 0.04 | Reward Total Mass: -0.00 | Reward Entropy: 0.30 | Total Reward: -0.2988 | Compliance: 129.37 | Constraint: 0.45
2024-12-29 19:59:59,447 - INFO - Episode done: Step: 360 | Action: 3 | Raw Reward: -0.99 | Scaled Reward: -0.4977 | Reward Compliance: -1.38 | Reward Density High: 0.05 | Reward Density Low: 0.05 | Reward Total Mass: -0.00 | Reward Entropy: 0.29 | Total Reward: -0.3092 | Compliance: 138.05 | Constraint: 0.45
2024-12-29 20:00:00,718 - INFO - Episode done: Step: 360 | Action: 36 | Raw Reward: -1.89 | Scaled Reward: -0.6546 | Reward Compliance: -2.29 | Reward Density High: 0.06 | Reward Density Low: 0.06 | Reward Total Mass: -0.00 | Reward Entropy: 0.28 | Total Reward: -0.3768 | Compliance: 229.00 | Constraint: 0.44
2024-12-29 20:00:01,907 - INFO - Episode done: Step: 360 | Action: 1 | Raw Reward: -1.26 | Scaled Reward: -0.5584 | Reward Compliance: -0.85 | Reward Density High: 0.04 | Reward Density Low: 0.04 | Reward Total Mass: -0.80 | Reward Entropy: 0.30 | Total Reward: -0.3370 | Compliance: 84.82 | Constraint: 0.52
2024-12-29 20:00:02,972 - INFO - Episode done: Step: 360 | Action: 3 | Raw Reward: -1.87 | Scaled Reward: -0.6510 | Reward Compliance: -2.26 | Reward Density High: 0.05 | Reward Density Low: 0.05 | Reward Total Mass: -0.00 | Reward Entropy: 0.29 | Total Reward: -0.3754 | Compliance: 225.91 | Constraint: 0.47
2024-12-29 20:00:04,131 - INFO - Episode done: Step: 360 | Action: 44 | Raw Reward: -1.24 | Scaled Reward: -0.5540 | Reward Compliance: -1.65 | Reward Density High: 0.07 | Reward Density Low: 0.07 | Reward Total Mass: -0.00 | Reward Entropy: 0.26 | Total Reward: -0.3351 | Compliance: 164.67 | Constraint: 0.46
2024-12-29 20:00:05,287 - INFO - Episode done: Step: 360 | Action: 11 | Raw Reward: -1.36 | Scaled Reward: -0.5768 | Reward Compliance: -1.75 | Reward Density High: 0.05 | Reward Density Low: 0.05 | Reward Total Mass: -0.00 | Reward Entropy: 0.29 | Total Reward: -0.3450 | Compliance: 175.29 | Constraint: 0.45
2024-12-29 20:00:06,414 - INFO - Episode done: Step: 360 | Action: 17 | Raw Reward: -2.31 | Scaled Reward: -0.6979 | Reward Compliance: -2.70 | Reward Density High: 0.05 | Reward Density Low: 0.05 | Reward Total Mass: -0.00 | Reward Entropy: 0.29 | Total Reward: -0.3932 | Compliance: 269.95 | Constraint: 0.43
2024-12-29 20:00:07,506 - INFO - Episode done: Step: 360 | Action: 16 | Raw Reward: -1.38 | Scaled Reward: -0.5798 | Reward Compliance: -1.78 | Reward Density High: 0.07 | Reward Density Low: 0.07 | Reward Total Mass: -0.00 | Reward Entropy: 0.27 | Total Reward: -0.3463 | Compliance: 178.02 | Constraint: 0.46
2024-12-29 20:00:08,641 - INFO - Episode done: Step: 360 | Action: 18 | Raw Reward: -1.80 | Scaled Reward: -0.6427 | Reward Compliance: -2.19 | Reward Density High: 0.05 | Reward Density Low: 0.05 | Reward Total Mass: -0.00 | Reward Entropy: 0.28 | Total Reward: -0.3722 | Compliance: 218.88 | Constraint: 0.43
2024-12-29 20:09:46,369 - INFO - Episode done: Step: 360 | Action: 50 | Raw Reward: -1.03 | Scaled Reward: -0.5073 | Reward Compliance: -1.43 | Reward Density High: 0.07 | Reward Density Low: 0.07 | Reward Total Mass: -0.00 | Reward Entropy: 0.25 | Total Reward: -0.3138 | Compliance: 143.03 | Constraint: 0.49
2024-12-29 20:09:47,268 - INFO - Episode done: Step: 360 | Action: 71 | Raw Reward: -1.01 | Scaled Reward: -0.5015 | Reward Compliance: -1.40 | Reward Density High: 0.06 | Reward Density Low: 0.06 | Reward Total Mass: -0.00 | Reward Entropy: 0.28 | Total Reward: -0.3111 | Compliance: 140.11 | Constraint: 0.49
2024-12-29 20:09:48,184 - INFO - Episode done: Step: 360 | Action: 53 | Raw Reward: -1.22 | Scaled Reward: -0.5502 | Reward Compliance: -1.62 | Reward Density High: 0.07 | Reward Density Low: 0.07 | Reward Total Mass: -0.00 | Reward Entropy: 0.26 | Total Reward: -0.3334 | Compliance: 161.71 | Constraint: 0.49
2024-12-29 20:09:49,090 - INFO - Episode done: Step: 360 | Action: 62 | Raw Reward: -1.20 | Scaled Reward: -0.5462 | Reward Compliance: -1.59 | Reward Density High: 0.05 | Reward Density Low: 0.05 | Reward Total Mass: -0.00 | Reward Entropy: 0.28 | Total Reward: -0.3317 | Compliance: 159.08 | Constraint: 0.46
2024-12-29 20:09:49,989 - INFO - Episode done: Step: 360 | Action: 60 | Raw Reward: -1.13 | Scaled Reward: -0.5315 | Reward Compliance: -1.54 | Reward Density High: 0.08 | Reward Density Low: 0.08 | Reward Total Mass: -0.00 | Reward Entropy: 0.25 | Total Reward: -0.3250 | Compliance: 154.18 | Constraint: 0.47
2024-12-29 20:09:50,870 - INFO - Episode done: Step: 360 | Action: 26 | Raw Reward: -1.41 | Scaled Reward: -0.5853 | Reward Compliance: -1.81 | Reward Density High: 0.07 | Reward Density Low: 0.07 | Reward Total Mass: -0.00 | Reward Entropy: 0.26 | Total Reward: -0.3487 | Compliance: 181.36 | Constraint: 0.47
2024-12-29 20:09:51,734 - INFO - Episode done: Step: 360 | Action: 51 | Raw Reward: -1.15 | Scaled Reward: -0.5359 | Reward Compliance: -1.50 | Reward Density High: 0.07 | Reward Density Low: 0.07 | Reward Total Mass: -0.05 | Reward Entropy: 0.26 | Total Reward: -0.3270 | Compliance: 150.31 | Constraint: 0.50
2024-12-29 20:09:52,593 - INFO - Episode done: Step: 360 | Action: 29 | Raw Reward: -0.71 | Scaled Reward: -0.4145 | Reward Compliance: -1.10 | Reward Density High: 0.06 | Reward Density Low: 0.06 | Reward Total Mass: -0.00 | Reward Entropy: 0.28 | Total Reward: -0.2671 | Compliance: 110.14 | Constraint: 0.48
2024-12-29 20:09:53,454 - INFO - Episode done: Step: 360 | Action: 6 | Raw Reward: -1.01 | Scaled Reward: -0.5018 | Reward Compliance: -1.39 | Reward Density High: 0.06 | Reward Density Low: 0.06 | Reward Total Mass: -0.00 | Reward Entropy: 0.28 | Total Reward: -0.3112 | Compliance: 139.35 | Constraint: 0.50
2024-12-29 20:09:54,300 - INFO - Episode done: Step: 360 | Action: 20 | Raw Reward: -1.24 | Scaled Reward: -0.5539 | Reward Compliance: -1.38 | Reward Density High: 0.06 | Reward Density Low: 0.06 | Reward Total Mass: -0.25 | Reward Entropy: 0.27 | Total Reward: -0.3350 | Compliance: 138.27 | Constraint: 0.51
2024-12-29 20:09:55,626 - INFO - Episode done: Step: 360 | Action: 26 | Raw Reward: -1.99 | Scaled Reward: -0.6656 | Reward Compliance: -1.15 | Reward Density High: 0.09 | Reward Density Low: 0.09 | Reward Total Mass: -1.25 | Reward Entropy: 0.24 | Total Reward: -0.3810 | Compliance: 114.68 | Constraint: 0.53
2024-12-29 20:09:56,665 - INFO - Episode done: Step: 360 | Action: 8 | Raw Reward: -0.77 | Scaled Reward: -0.4339 | Reward Compliance: -0.97 | Reward Density High: 0.08 | Reward Density Low: 0.08 | Reward Total Mass: -0.20 | Reward Entropy: 0.25 | Total Reward: -0.2774 | Compliance: 96.74 | Constraint: 0.51
2024-12-29 20:09:57,706 - INFO - Episode done: Step: 360 | Action: 26 | Raw Reward: -1.59 | Scaled Reward: -0.6137 | Reward Compliance: -1.99 | Reward Density High: 0.06 | Reward Density Low: 0.06 | Reward Total Mass: -0.00 | Reward Entropy: 0.28 | Total Reward: -0.3605 | Compliance: 198.60 | Constraint: 0.48
2024-12-29 20:09:58,739 - INFO - Episode done: Step: 360 | Action: 51 | Raw Reward: -1.36 | Scaled Reward: -0.5758 | Reward Compliance: -1.75 | Reward Density High: 0.07 | Reward Density Low: 0.07 | Reward Total Mass: -0.00 | Reward Entropy: 0.27 | Total Reward: -0.3446 | Compliance: 175.41 | Constraint: 0.48
2024-12-29 20:09:59,771 - INFO - Episode done: Step: 360 | Action: 33 | Raw Reward: -1.00 | Scaled Reward: -0.4988 | Reward Compliance: -1.33 | Reward Density High: 0.06 | Reward Density Low: 0.06 | Reward Total Mass: -0.05 | Reward Entropy: 0.28 | Total Reward: -0.3098 | Compliance: 133.32 | Constraint: 0.50
2024-12-29 20:10:00,820 - INFO - Episode done: Step: 360 | Action: 5 | Raw Reward: -1.18 | Scaled Reward: -0.5417 | Reward Compliance: -1.37 | Reward Density High: 0.06 | Reward Density Low: 0.06 | Reward Total Mass: -0.20 | Reward Entropy: 0.27 | Total Reward: -0.3296 | Compliance: 137.12 | Constraint: 0.51
2024-12-29 20:10:01,848 - INFO - Episode done: Step: 360 | Action: 69 | Raw Reward: -0.66 | Scaled Reward: -0.3978 | Reward Compliance: -1.07 | Reward Density High: 0.08 | Reward Density Low: 0.08 | Reward Total Mass: -0.00 | Reward Entropy: 0.25 | Total Reward: -0.2581 | Compliance: 106.56 | Constraint: 0.50
2024-12-29 20:10:02,876 - INFO - Episode done: Step: 360 | Action: 71 | Raw Reward: -1.30 | Scaled Reward: -0.5655 | Reward Compliance: -1.70 | Reward Density High: 0.07 | Reward Density Low: 0.07 | Reward Total Mass: -0.00 | Reward Entropy: 0.26 | Total Reward: -0.3401 | Compliance: 170.27 | Constraint: 0.50
2024-12-29 20:10:03,908 - INFO - Episode done: Step: 360 | Action: 1 | Raw Reward: -1.26 | Scaled Reward: -0.5580 | Reward Compliance: -1.66 | Reward Density High: 0.06 | Reward Density Low: 0.06 | Reward Total Mass: -0.00 | Reward Entropy: 0.27 | Total Reward: -0.3369 | Compliance: 165.71 | Constraint: 0.49
2024-12-29 20:25:14,528 - INFO - Episode done: Step: 360 | Action: 10 | Raw Reward: -1.30 | Scaled Reward: -0.5654 | Reward Compliance: -1.69 | Reward Density High: 0.06 | Reward Density Low: 0.06 | Reward Total Mass: -0.00 | Reward Entropy: 0.28 | Total Reward: -0.3401 | Compliance: 169.21 | Constraint: 0.47
2024-12-29 20:25:15,479 - INFO - Episode done: Step: 360 | Action: 55 | Raw Reward: -3.40 | Scaled Reward: -0.7727 | Reward Compliance: -3.79 | Reward Density High: 0.06 | Reward Density Low: 0.06 | Reward Total Mass: -0.00 | Reward Entropy: 0.28 | Total Reward: -0.4195 | Compliance: 379.48 | Constraint: 0.49
2024-12-29 20:25:16,489 - INFO - Episode done: Step: 360 | Action: 59 | Raw Reward: -2.36 | Scaled Reward: -0.7022 | Reward Compliance: -0.80 | Reward Density High: 0.05 | Reward Density Low: 0.05 | Reward Total Mass: -1.95 | Reward Entropy: 0.28 | Total Reward: -0.3948 | Compliance: 79.89 | Constraint: 0.55
2024-12-29 20:25:17,493 - INFO - Episode done: Step: 360 | Action: 58 | Raw Reward: -8.01 | Scaled Reward: -0.8890 | Reward Compliance: -8.41 | Reward Density High: 0.07 | Reward Density Low: 0.07 | Reward Total Mass: -0.00 | Reward Entropy: 0.27 | Total Reward: -0.4562 | Compliance: 841.21 | Constraint: 0.48
