episode,timestep,reward
1067,384480,-109.3662
1069,385200,-109.3642
1071,385920,-109.3642
1073,386640,-109.3642
1075,387360,-109.3642
1077,388080,-109.3651
1079,388800,-109.3642
1081,389520,-109.3642
1083,390240,-109.3642
1085,390960,-109.3642
1087,391680,-109.3642
1089,392400,-109.3642
1091,393120,-109.3642
1093,393840,-109.3642
1095,394560,-109.3642
1097,395280,-109.3642
1099,396000,-109.3642
1101,396720,-109.3642
1103,397440,-109.3642
1105,398160,-109.3662
1107,398880,-109.3642
1109,399600,-109.3652
1111,400320,-109.3642
1113,401040,-109.3642
1115,401760,-109.3642
1117,402480,-109.3642
1119,403200,-109.3642
1121,403920,-109.3642
1123,404640,-109.3642
1125,405360,-109.3642
1127,406080,-109.3642
1129,406800,-109.3642
1131,407520,-109.3642
1133,408240,-109.3642
1135,408960,-109.3642
1137,409680,-109.3642
1139,410400,-109.3642
1141,411120,-109.3642
1143,411840,-109.3642
1145,412560,-109.3642
1147,413280,-109.3642
1149,414000,-109.3642
1151,414720,-109.3642
1153,415440,-109.3642
1155,416160,-109.3642
1157,416880,-109.3642
1159,417600,-109.3642
1161,418320,-109.3642
1163,419040,-109.3642
1165,419760,-109.3642
1167,420480,-109.3642
1169,421200,-109.3642
1171,421920,-109.3642
1173,422640,-109.3642
1175,423360,-109.3642
1177,424080,-109.3642
1179,424800,-109.3642
1181,425520,-109.3642
1183,426240,-109.3642
1185,426960,-109.3642
1187,427680,-109.3642
1189,428400,-109.3642
1191,429120,-109.3642
1193,429840,-109.3642
1195,430560,-109.3642
1197,431280,-109.3642
1199,432000,-109.3642
1201,432720,-109.3642
1203,433440,-109.3642
1205,434160,-109.3642
1207,434880,-109.3642
1209,435600,-109.3642
1211,436320,-109.3642
1213,437040,-109.3642
1215,437760,-109.3642
1217,438480,-109.3642
1219,439200,-109.3642
1221,439920,-109.3642
1223,440640,-109.3642
1225,441360,-109.3642
1227,442080,-109.3642
1229,442800,-109.3642
1231,443520,-109.3642
1233,444240,-109.3642
1235,444960,-109.3642
1237,445680,-109.3642
1239,446400,-109.3642
1241,447120,-109.3642
1243,447840,-109.3642
1245,448560,-109.3642
1247,449280,-109.3642
1249,450000,-109.3642
1251,450720,-109.3642
1253,451440,-109.3642
1255,452160,-109.3642
1257,452880,-109.3642
1259,453600,-109.3642
1261,454320,-109.3642
1263,455040,-109.3642
1265,455760,-109.3642
1267,456480,-109.3642
1269,457200,-109.3642
1271,457920,-109.3642
1273,458640,-109.3642
1275,459360,-109.3642
1277,460080,-109.3642
1279,460800,-109.3642
1281,461520,-109.3642
1283,462240,-109.3642
1285,462960,-109.3642
1287,463680,-109.3642
1289,464400,-109.3642
1291,465120,-109.3642
1293,465840,-109.3642
1295,466560,-109.3642
1297,467280,-109.3642
1299,468000,-109.3642
1301,468720,-109.3642
1303,469440,-109.3642
1305,470160,-109.3642
1307,470880,-109.3642
1309,471600,-109.3642
1311,472320,-109.3642
1313,473040,-109.3642
1315,473760,-109.3642
1317,474480,-109.3642
1319,475200,-109.3642
1321,475920,-109.3642
1323,476640,-109.3642
1325,477360,-109.3642
1327,478080,-109.3642
1329,478800,-109.3642
1331,479520,-109.3642
1333,480240,-109.3642
1335,480960,-109.3642
1337,481680,-109.3642
1339,482400,-109.3642
1341,483120,-109.3642
1343,483840,-109.3642
1345,484560,-109.3642
1347,485280,-109.3642
1349,486000,-109.3642
1351,486720,-109.3642
1353,487440,-109.3642
1355,488160,-109.3642
1357,488880,-109.3642
1359,489600,-109.3642
1361,490320,-109.3642
1363,491040,-109.3642
1365,491760,-109.3642
1367,492480,-109.3642
1369,493200,-109.3642
1371,493920,-109.3642
1373,494640,-109.3642
1375,495360,-109.3642
1377,496080,-109.3642
1379,496800,-109.3642
1381,497520,-109.3642
1383,498240,-109.3642
1385,498960,-109.3642
1387,499680,-109.3642
1389,500400,-109.3642
1391,501120,-109.3642
1393,501840,-109.3642
1395,502560,-109.3642
1397,503280,-109.3642
1399,504000,-109.3642
1401,504720,-109.3642
1403,505440,-109.3642
1405,506160,-109.3642
1407,506880,-109.3642
1409,507600,-109.3642
1411,508320,-109.3642
1413,509040,-109.3642
1415,509760,-109.3642
1417,510480,-109.3642
1419,511200,-109.3642
1421,511920,-109.3642
1423,512640,-109.3642
1425,513360,-109.3642
1427,514080,-109.3642
1429,514800,-109.3642
1431,515520,-109.3642
1433,516240,-109.3642
1435,516960,-109.3642
1437,517680,-109.3642
1439,518400,-109.3642
1441,519120,-109.3642
1443,519840,-109.3642
1445,520560,-109.3642
1447,521280,-109.3642
1449,522000,-109.3642
1451,522720,-109.3642
1453,523440,-109.3642
1455,524160,-109.3642
1457,524880,-109.3642
1459,525600,-109.3642
1461,526320,-109.3648
1463,527040,-109.3642
1465,527760,-109.3642
1467,528480,-109.3642
1469,529200,-109.3642
